iter	RMSE
0	47.00792343
1	45.24454003
2	43.58281224
3	42.00199097
4	40.4446032
5	38.94880917
6	37.51856801
7	36.22744934
8	34.9671118
9	33.66863574
10	32.4389215
11	31.23167197
12	30.10141899
13	29.03467688
14	28.00715608
15	26.98131771
16	25.99075541
17	25.0434422
18	24.21729388
19	23.40131651
20	22.60890681
21	21.78776173
22	21.00344368
23	20.27321057
24	19.61461271
25	18.90567494
26	18.23692918
27	17.58016406
28	16.98309058
29	16.3891622
30	15.8277199
31	15.29560696
32	14.7635832
33	14.25753348
34	13.79076948
35	13.32100329
36	12.89646527
37	12.46112845
38	12.0480623
39	11.65530133
40	11.27055212
41	10.94185754
42	10.58799842
43	10.28016808
44	9.97271339
45	9.666062509
46	9.403320919
47	9.127437299
48	8.867854422
49	8.597583789
50	8.35657261
51	8.117246829
52	7.898186872
53	7.692649966
54	7.488159373
55	7.311264621
56	7.137972837
57	6.964789753
58	6.800279704
59	6.6295962
60	6.464813591
61	6.303328195
62	6.158851914
63	6.017634227
64	5.886528473
65	5.759441216
66	5.649967593
67	5.538334253
68	5.435129967
69	5.325467171
70	5.220765294
71	5.136149613
72	5.039274393
73	4.954217734
74	4.875117919
75	4.798072351
76	4.721019197
77	4.653067399
78	4.591677454
79	4.532108225
80	4.466992086
81	4.405702093
82	4.354327245
83	4.306944481
84	4.254838247
85	4.212160408
86	4.169979825
87	4.131693558
88	4.092545853
89	4.054743888
90	4.024192215
91	3.99551715
92	3.961523651
93	3.932547275
94	3.903627117
95	3.872372225
96	3.848635874
97	3.821827286
98	3.800355061
99	3.775774695
100	3.756933271
101	3.738281237
102	3.720566685
103	3.702576393
104	3.684129949
105	3.666956668
106	3.650911515
107	3.636085836
108	3.62026965
109	3.602893908
110	3.589412398
111	3.576533329
112	3.562741926
113	3.551885668
114	3.538790765
115	3.528336224
116	3.514450869
117	3.502315967
118	3.489660793
119	3.480560269
120	3.466916103
121	3.456595795
122	3.448404978
123	3.44002036
124	3.432269739
125	3.422853913
126	3.416349796
127	3.405493452
128	3.396639181
129	3.387619793
130	3.379475216
131	3.373111573
132	3.366309382
133	3.361875194
134	3.351076482
135	3.343071153
136	3.333658179
137	3.32305196
138	3.316150641
139	3.308669538
140	3.301351914
141	3.296358681
142	3.291453703
143	3.284951168
144	3.278469963
145	3.267870427
