iter	Passed	Remaining
0	3	3304
1	5	2933
2	11	3900
3	14	3693
4	18	3593
5	20	3419
6	23	3296
7	29	3642
8	31	3513
9	34	3431
10	39	3580
11	45	3715
12	47	3633
13	51	3595
14	54	3566
15	56	3498
16	61	3546
17	64	3511
18	68	3548
19	71	3525
20	77	3599
21	81	3619
22	84	3585
23	87	3538
24	91	3576
25	94	3537
26	96	3492
27	102	3552
28	107	3610
29	111	3614
30	115	3606
31	118	3581
32	122	3603
33	126	3581
34	129	3559
35	131	3524
36	134	3497
37	140	3565
38	143	3546
39	147	3529
40	150	3509
41	155	3551
42	158	3521
43	160	3492
44	165	3509
45	168	3504
46	176	3585
47	179	3568
48	182	3550
49	188	3582
50	194	3611
51	196	3586
52	199	3558
53	205	3592
54	208	3575
55	211	3560
56	213	3535
57	219	3569
58	223	3560
59	226	3540
60	229	3537
61	238	3602
62	242	3605
63	246	3600
64	253	3651
65	257	3650
66	261	3635
67	267	3661
68	272	3674
69	275	3660
70	278	3638
71	283	3652
72	286	3633
73	291	3650
74	296	3654
75	300	3658
76	305	3661
77	307	3634
78	310	3614
79	313	3604
80	315	3576
81	316	3547
82	319	3532
83	321	3508
84	323	3483
85	327	3481
86	330	3465
87	333	3452
88	335	3435
89	337	3411
90	339	3387
91	342	3380
92	344	3363
93	346	3341
94	348	3318
95	350	3296
96	351	3276
97	354	3258
98	356	3246
99	359	3235
100	361	3215
101	363	3199
102	365	3182
103	367	3163
104	368	3145
105	370	3127
106	374	3124
107	376	3112
108	379	3104
109	382	3093
110	384	3081
111	390	3098
112	393	3091
113	396	3079
114	398	3064
115	400	3050
116	402	3036
117	405	3032
118	408	3024
119	411	3014
120	412	2999
121	414	2983
122	416	2970
123	422	2982
124	424	2973
125	428	2969
126	430	2960
127	436	2973
128	439	2965
129	441	2955
130	444	2947
131	449	2953
132	453	2958
133	456	2951
134	459	2946
135	462	2937
136	467	2944
137	469	2935
138	472	2926
139	478	2942
140	484	2952
141	487	2944
142	490	2942
143	493	2934
144	496	2929
145	500	2926
146	502	2917
147	506	2915
148	509	2908
149	514	2915
150	518	2916
151	525	2932
152	530	2934
153	534	2937
154	537	2930
155	540	2921
156	546	2935
157	549	2929
158	552	2920
159	554	2911
160	557	2902
161	562	2911
162	565	2904
163	568	2898
164	576	2917
165	580	2917
166	583	2911
167	586	2904
168	588	2896
169	593	2897
170	596	2889
171	600	2891
172	603	2883
173	607	2886
174	614	2896
175	617	2889
176	619	2881
177	626	2892
178	628	2884
179	631	2876
180	639	2894
181	643	2891
182	645	2883
183	648	2875
184	650	2867
185	656	2872
186	660	2871
187	665	2872
188	667	2865
189	676	2883
