name,_runtime,_step,_timestamp,_wandb,mae,rf_max_depth,rf_n_estimators,xgb_n_estimators,xgb_learning_rate
treasured-sweep-1,42,0,1770977783.540738,{'runtime': 42},21.84716787830733,10.0,200,100,0.2
neat-sweep-2,41,0,1770977852.2192965,{'runtime': 41},21.88325349169433,,200,50,0.2
misunderstood-sweep-3,31,0,1770977919.5051403,{'runtime': 31},21.90300490398142,,100,200,0.2
dark-sweep-4,41,0,1770977994.5904784,{'runtime': 41},27.725100280989825,,50,100,0.01
swept-sweep-5,17,0,1770978042.2157898,{'runtime': 17},21.828284325581873,10.0,200,200,0.2
young-sweep-6,28,0,1770978105.8091712,{'runtime': 28},21.837035531382803,,200,200,0.2
sage-sweep-7,9,0,1770978143.2390594,{'runtime': 9},21.837035531382803,,200,200,0.2
smooth-sweep-8,4,0,1770978158.8696132,{'runtime': 4},21.837035531382803,,200,200,0.2
firm-sweep-9,4,0,1770978180.840573,{'runtime': 4},21.88325349169433,,200,50,0.2
vague-sweep-10,3,0,1770978196.4275613,{'runtime': 3},21.855935821672578,,200,100,0.2
